"2018-03-15 at 15:30"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-15 15:30:50 417.85 27.07 14.52 51.12 61.28 0.0527 0.0853
2018-03-15 15:30:51 414.17 27.31 14.65 51.15 61.27 0.0524 0.0858
2018-03-15 15:30:52 412.48 27.40 14.70 51.12 61.26 0.0522 0.0859
2018-03-15 15:30:53 412.48 27.40 14.70 51.12 61.26 0.0522 0.0859
2018-03-15 15:30:54 411.78 27.48 14.74 51.12 61.24 0.0521 0.0861
2018-03-15 15:30:55 412.00 27.58 14.79 51.12 61.23 0.0522 0.0862
2018-03-15 15:30:56 412.34 27.63 14.82 51.12 61.25 0.0522 0.0863
2018-03-15 15:30:57 412.81 27.68 14.86 51.12 61.27 0.0523 0.0865
2018-03-15 15:30:58 412.17 27.71 14.86 51.12 61.22 0.0522 0.0866
2018-03-15 15:30:59 412.91 27.80 14.92 51.15 61.25 0.0523 0.0867
2018-03-15 15:31:00 412.43 27.85 14.95 51.15 61.25 0.0522 0.0868
2018-03-15 15:31:01 412.28 27.85 14.94 51.11 61.22 0.0522 0.0868
2018-03-15 15:31:02 414.23 27.93 14.99 51.09 61.24 0.0524 0.0870
2018-03-15 15:31:03 413.58 27.92 14.98 51.11 61.22 0.0523 0.0870
2018-03-15 15:31:04 413.42 27.98 15.01 51.11 61.21 0.0522 0.0870
2018-03-15 15:31:05 414.33 28.04 15.05 51.13 61.22 0.0524 0.0872
2018-03-15 15:31:06 414.09 28.05 15.06 51.12 61.24 0.0524 0.0873
2018-03-15 15:31:07 415.13 28.05 15.05 51.12 61.23 0.0525 0.0872
2018-03-15 15:31:08 416.18 28.12 15.09 51.12 61.22 0.0525 0.0873
2018-03-15 15:31:09 416.52 28.11 15.08 51.11 61.21 0.0526 0.0874
2018-03-15 15:31:10 417.52 28.17 15.12 51.11 61.22 0.0527 0.0874
2018-03-15 15:31:11 419.07 28.16 15.11 51.12 61.23 0.0529 0.0874
2018-03-15 15:31:12 419.00 28.17 15.11 51.12 61.19 0.0528 0.0875
2018-03-15 15:31:13 419.61 28.20 15.13 51.12 61.21 0.0529 0.0875
2018-03-15 15:31:14 421.67 28.20 15.14 51.11 61.25 0.0531 0.0875
2018-03-15 15:31:15 422.31 28.24 15.16 51.10 61.24 0.0532 0.0876
2018-03-15 15:31:16 422.93 28.22 15.15 51.08 61.22 0.0532 0.0875
2018-03-15 15:31:17 423.80 28.28 15.18 51.07 61.23 0.0534 0.0877
2018-03-15 15:31:18 424.82 28.20 15.13 51.07 61.21 0.0534 0.0875
2018-03-15 15:31:19 427.07 28.27 15.18 51.08 61.23 0.0536 0.0877
2018-03-15 15:31:20 428.35 28.30 15.19 51.10 61.21 0.0537 0.0877
2018-03-15 15:31:21 429.06 28.31 15.19 51.10 61.22 0.0538 0.0878
2018-03-15 15:31:22 430.31 28.32 15.21 51.08 61.23 0.0540 0.0878
