"2018-03-15 at 15:33"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-15 15:33:06 412.81 27.62 14.81 51.02 61.23 0.0523 0.0863
2018-03-15 15:33:07 414.67 27.68 14.84 50.99 61.18 0.0524 0.0864
2018-03-15 15:33:08 417.40 27.75 14.88 50.99 61.17 0.0527 0.0866
2018-03-15 15:33:09 418.28 27.73 14.87 50.99 61.21 0.0528 0.0865
2018-03-15 15:33:10 418.14 27.78 14.91 51.00 61.24 0.0528 0.0868
2018-03-15 15:33:11 419.28 27.76 14.91 51.02 61.29 0.0529 0.0867
2018-03-15 15:33:12 418.62 27.76 14.90 51.02 61.26 0.0528 0.0867
2018-03-15 15:33:13 420.76 27.88 14.97 51.02 61.28 0.0531 0.0869
2018-03-15 15:33:14 423.34 27.86 14.96 51.00 61.29 0.0534 0.0869
2018-03-15 15:33:15 423.67 27.83 14.93 50.99 61.21 0.0532 0.0867
2018-03-15 15:33:16 423.89 27.92 14.98 50.99 61.21 0.0534 0.0870
2018-03-15 15:33:17 425.29 27.94 15.01 50.99 61.28 0.0535 0.0871
2018-03-15 15:33:18 426.32 27.92 15.01 51.02 61.32 0.0537 0.0871
2018-03-15 15:33:19 426.84 27.88 14.98 51.03 61.30 0.0535 0.0869
2018-03-15 15:33:20 426.94 27.97 15.01 51.02 61.24 0.0537 0.0872
2018-03-15 15:33:21 430.23 27.97 15.02 51.02 61.26 0.0539 0.0871
2018-03-15 15:33:22 429.85 27.96 15.02 51.00 61.27 0.0539 0.0871
2018-03-15 15:33:23 431.66 27.97 15.02 50.99 61.28 0.0541 0.0871
2018-03-15 15:33:24 433.10 28.01 15.05 51.00 61.29 0.0542 0.0873
2018-03-15 15:33:26 433.70 28.03 15.06 51.02 61.30 0.0542 0.0873
2018-03-15 15:33:27 434.36 28.02 15.07 51.02 61.34 0.0545 0.0873
2018-03-15 15:33:28 434.66 28.04 15.08 51.02 61.35 0.0545 0.0874
2018-03-15 15:33:29 435.49 28.04 15.07 51.02 61.31 0.0544 0.0872
2018-03-15 15:33:30 436.45 28.08 15.07 51.00 61.25 0.0546 0.0874
2018-03-15 15:33:31 438.83 28.10 15.08 50.99 61.24 0.0547 0.0873
2018-03-15 15:33:32 440.65 28.08 15.07 50.99 61.23 0.0549 0.0873
2018-03-15 15:33:33 440.19 28.07 15.08 51.00 61.28 0.0549 0.0873
2018-03-15 15:33:34 441.13 28.07 15.07 51.03 61.24 0.0548 0.0873
2018-03-15 15:33:35 441.47 28.09 15.09 51.02 61.26 0.0550 0.0874
