"2018-03-18 at 16:01"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-18 16:01:24 415.17 19.65 9.34 51.02 59.99 0.0514 0.0669
2018-03-18 16:01:25 415.29 19.66 9.33 51.02 59.97 0.0513 0.0668
2018-03-18 16:01:26 417.87 19.68 9.35 51.04 59.94 0.0516 0.0669
2018-03-18 16:01:27 417.25 19.70 9.36 51.02 59.96 0.0515 0.0670
2018-03-18 16:01:28 417.45 19.74 9.39 51.02 59.94 0.0516 0.0671
2018-03-18 16:01:29 418.36 19.78 9.42 51.02 59.93 0.0516 0.0671
2018-03-18 16:01:30 417.84 19.81 9.44 51.02 59.93 0.0516 0.0672
2018-03-18 16:01:31 418.92 19.85 9.49 51.02 59.98 0.0517 0.0674
2018-03-18 16:01:32 418.43 19.89 9.51 51.02 59.98 0.0516 0.0674
2018-03-18 16:01:33 420.29 19.86 9.49 51.04 59.99 0.0519 0.0674
2018-03-18 16:01:34 420.05 19.89 9.51 51.04 59.99 0.0517 0.0675
2018-03-18 16:01:35 420.21 19.94 9.55 51.02 59.98 0.0519 0.0676
2018-03-18 16:01:36 420.17 19.93 9.55 51.02 59.99 0.0518 0.0675
2018-03-18 16:01:37 421.11 19.95 9.56 51.02 59.96 0.0519 0.0676
2018-03-18 16:01:38 421.06 19.97 9.57 51.02 59.98 0.0519 0.0677
2018-03-18 16:01:39 422.76 20.01 9.60 51.02 59.98 0.0520 0.0677
2018-03-18 16:01:40 422.15 20.02 9.61 51.02 59.97 0.0520 0.0678
2018-03-18 16:01:41 423.40 20.06 9.64 51.03 59.96 0.0520 0.0678
2018-03-18 16:01:42 423.25 20.07 9.65 51.02 59.97 0.0521 0.0679
2018-03-18 16:01:43 423.26 20.08 9.65 51.02 59.94 0.0520 0.0678
2018-03-18 16:01:44 423.32 20.11 9.66 51.02 59.93 0.0521 0.0680
2018-03-18 16:01:45 425.43 20.16 9.70 51.02 59.91 0.0522 0.0680
2018-03-18 16:01:46 425.32 20.17 9.71 51.02 59.92 0.0522 0.0681
2018-03-18 16:01:47 425.26 20.20 9.73 51.02 59.94 0.0523 0.0682
2018-03-18 16:01:48 425.32 20.18 9.72 51.04 59.91 0.0522 0.0680
2018-03-18 16:01:49 425.10 20.22 9.75 51.03 59.93 0.0522 0.0682
2018-03-18 16:01:50 426.38 20.28 9.79 51.02 59.92 0.0524 0.0683
2018-03-18 16:01:51 427.44 20.26 9.77 51.02 59.91 0.0524 0.0683
2018-03-18 16:01:52 426.87 20.24 9.76 51.02 59.93 0.0524 0.0682
2018-03-18 16:01:53 427.74 20.28 9.79 51.02 59.93 0.0524 0.0683
2018-03-18 16:01:54 428.73 20.28 9.79 51.02 59.94 0.0526 0.0685
2018-03-18 16:01:55 428.74 20.34 9.84 51.03 59.97 0.0525 0.0684
2018-03-18 16:01:56 429.39 20.32 9.83 51.02 59.94 0.0526 0.0684
2018-03-18 16:01:57 430.06 20.32 9.81 51.02 59.90 0.0526 0.0684
2018-03-18 16:01:58 429.14 20.35 9.84 51.02 59.90 0.0525 0.0685
2018-03-18 16:01:59 430.52 20.37 9.86 51.02 59.93 0.0527 0.0686
2018-03-18 16:02:00 430.27 20.39 9.87 51.02 59.93 0.0527 0.0686
2018-03-18 16:02:01 429.88 20.38 9.87 51.02 59.93 0.0527 0.0686
2018-03-18 16:02:02 431.45 20.37 9.85 51.03 59.91 0.0527 0.0685
2018-03-18 16:02:03 431.50 20.42 9.89 51.04 59.91 0.0528 0.0686
2018-03-18 16:02:04 431.72 20.42 9.89 51.02 59.94 0.0528 0.0687
2018-03-18 16:02:05 433.43 20.46 9.94 51.02 60.00 0.0531 0.0689
2018-03-18 16:02:06 432.60 20.44 9.92 51.02 59.98 0.0529 0.0687
2018-03-18 16:02:07 432.94 20.44 9.92 51.02 59.97 0.0529 0.0687
2018-03-18 16:02:08 432.97 20.51 9.98 51.02 60.02 0.0531 0.0690
2018-03-18 16:02:09 432.78 20.49 9.96 51.03 60.00 0.0529 0.0688
2018-03-18 16:02:10 434.56 20.48 9.97 51.03 60.04 0.0532 0.0690
2018-03-18 16:02:11 434.74 20.55 10.01 51.02 60.02 0.0531 0.0690
2018-03-18 16:02:12 435.84 20.52 9.98 51.02 59.98 0.0532 0.0689
2018-03-18 16:02:13 435.32 20.57 10.01 51.02 59.96 0.0532 0.0691
2018-03-18 16:02:14 435.67 20.58 10.01 51.02 59.95 0.0532 0.0690
2018-03-18 16:02:15 435.76 20.55 9.99 51.02 59.93 0.0532 0.0690
2018-03-18 16:02:16 437.52 20.60 10.04 51.03 59.97 0.0534 0.0692
2018-03-18 16:02:17 436.00 20.59 10.03 51.04 59.98 0.0533 0.0691
2018-03-18 16:02:18 436.69 20.63 10.05 51.02 59.96 0.0533 0.0692
2018-03-18 16:02:19 436.81 20.61 10.04 51.02 59.95 0.0533 0.0691
2018-03-18 16:02:20 438.34 20.70 10.10 51.02 59.95 0.0534 0.0693
2018-03-18 16:02:21 437.50 20.71 10.11 51.02 59.93 0.0533 0.0693
2018-03-18 16:02:23 439.15 20.70 10.11 51.02 59.97 0.0536 0.0694
2018-03-18 16:02:24 438.69 20.74 10.13 51.02 59.95 0.0534 0.0694
2018-03-18 16:02:25 439.34 20.72 10.11 51.03 59.93 0.0535 0.0694
