"2018-03-18 at 15:54"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-18 15:54:46 414.12 18.36 8.35 51.02 60.08 0.0513 0.0639
2018-03-18 15:54:47 414.96 18.40 8.38 51.00 60.07 0.0514 0.0639
2018-03-18 15:54:49 415.22 18.41 8.38 51.00 60.04 0.0514 0.0639
2018-03-18 15:54:50 417.29 18.44 8.41 51.02 60.04 0.0516 0.0641
2018-03-18 15:54:51 416.94 18.45 8.40 51.03 60.00 0.0514 0.0639
2018-03-18 15:54:52 417.55 18.48 8.44 51.04 60.04 0.0517 0.0642
2018-03-18 15:54:53 418.38 18.50 8.46 51.02 60.05 0.0517 0.0641
2018-03-18 15:54:54 419.83 18.49 8.45 51.02 60.04 0.0518 0.0641
2018-03-18 15:54:55 419.43 18.51 8.47 51.02 60.05 0.0517 0.0642
2018-03-18 15:54:56 420.45 18.54 8.49 51.02 60.04 0.0519 0.0642
2018-03-18 15:54:57 420.32 18.52 8.47 51.02 60.04 0.0519 0.0642
2018-03-18 15:54:58 420.61 18.55 8.49 51.03 60.04 0.0519 0.0643
2018-03-18 15:54:59 421.28 18.56 8.50 51.02 60.03 0.0520 0.0643
2018-03-18 15:55:00 422.58 18.57 8.51 51.02 60.04 0.0521 0.0643
2018-03-18 15:55:01 423.64 18.59 8.53 51.02 60.03 0.0522 0.0644
2018-03-18 15:55:02 423.39 18.60 8.53 51.02 60.04 0.0521 0.0644
2018-03-18 15:55:03 423.96 18.56 8.50 51.02 60.01 0.0522 0.0642
2018-03-18 15:55:04 424.24 18.57 8.51 51.02 60.02 0.0522 0.0643
2018-03-18 15:55:05 424.63 18.61 8.54 51.02 60.04 0.0523 0.0644
2018-03-18 15:55:06 424.66 18.59 8.52 51.04 60.02 0.0522 0.0643
2018-03-18 15:55:07 425.55 18.60 8.53 51.02 60.01 0.0523 0.0644
2018-03-18 15:55:08 425.77 18.60 8.53 51.02 60.02 0.0523 0.0644
2018-03-18 15:55:09 427.58 18.63 8.56 51.00 60.05 0.0526 0.0645
2018-03-18 15:55:10 426.61 18.62 8.56 50.99 60.06 0.0525 0.0645
2018-03-18 15:55:11 427.06 18.65 8.58 51.00 60.04 0.0525 0.0645
2018-03-18 15:55:12 427.48 18.66 8.58 51.02 60.05 0.0525 0.0646
2018-03-18 15:55:13 428.95 18.70 8.62 51.04 60.06 0.0527 0.0647
2018-03-18 15:55:14 427.77 18.68 8.60 51.02 60.06 0.0525 0.0646
2018-03-18 15:55:15 428.92 18.66 8.58 51.02 60.04 0.0527 0.0645
2018-03-18 15:55:16 429.57 18.66 8.58 51.02 60.04 0.0527 0.0646
2018-03-18 15:55:17 429.83 18.66 8.59 51.02 60.05 0.0527 0.0645
2018-03-18 15:55:18 430.59 18.64 8.57 50.99 60.04 0.0529 0.0645
2018-03-18 15:55:19 432.22 18.66 8.59 51.02 60.05 0.0529 0.0646
2018-03-18 15:55:20 432.18 18.65 8.58 51.03 60.06 0.0530 0.0646
2018-03-18 15:55:21 433.32 18.63 8.56 51.02 60.05 0.0531 0.0645
2018-03-18 15:55:22 433.55 18.66 8.59 51.02 60.07 0.0530 0.0646
2018-03-18 15:55:23 432.66 18.67 8.60 51.02 60.08 0.0530 0.0646
2018-03-18 15:55:24 432.31 18.67 8.60 51.02 60.06 0.0529 0.0646
2018-03-18 15:55:25 434.09 18.67 8.60 51.02 60.06 0.0532 0.0646
2018-03-18 15:55:26 433.86 18.68 8.60 51.02 60.05 0.0531 0.0646
2018-03-18 15:55:27 434.17 18.63 8.56 51.02 60.05 0.0532 0.0645
2018-03-18 15:55:28 436.31 18.70 8.62 51.03 60.06 0.0534 0.0647
2018-03-18 15:55:29 436.41 18.73 8.64 51.02 60.06 0.0533 0.0648
2018-03-18 15:55:30 436.17 18.71 8.63 51.02 60.05 0.0533 0.0647
2018-03-18 15:55:31 436.36 18.74 8.65 51.02 60.07 0.0533 0.0648
2018-03-18 15:55:32 435.18 18.74 8.65 51.02 60.06 0.0533 0.0648
2018-03-18 15:55:33 436.62 18.72 8.64 51.02 60.05 0.0533 0.0647
2018-03-18 15:55:34 438.36 18.74 8.65 51.02 60.05 0.0535 0.0647
2018-03-18 15:55:35 438.12 18.75 8.66 51.04 60.06 0.0535 0.0648
2018-03-18 15:55:36 438.80 18.79 8.70 51.02 60.10 0.0536 0.0649
2018-03-18 15:55:37 438.34 18.76 8.67 51.02 60.07 0.0535 0.0648
